Month	Open	High	Low	Close	Day
August	181.47	181.47	179.9	180.27	MON
August	181	181.39	180.46	180.56	MON
August	180.12	180.33	179.21	179.25	MON
August	178.67	180.09	178.32	179.87	MON
August	179.7	179.7	178.58	179.18	MON
August	178.66	179.78	178.08	179.61	MON
August	179.18	179.59	178.37	179.07	FRI
August	179.61	180.54	179.28	179.77	FRI
August	179.41	179.96	179.01	179.41	FRI
August	179.09	180.32	179.05	179.58	FRI
August	180.19	181.25	178.92	179.41	FRI
August	179.86	180.7	179.28	180.5	FRI
August	180.72	181.02	179.59	180.15	FRI
August	179.49	179.76	178.58	179.24	FRI
September	179.31	180.17	178.8	179.98	MON
September	180.53	181.49	180.09	180.81	MON
September	180.56	181.28	179.88	180.46	MON
September	180.04	180.54	179.54	179.75	MON
September	179.19	180.21	178.94	180.1	MON
September	178.89	179	175.64	175.64	MON
September	175	178.4	174.69	178.1	MON
September	176.83	177.6	175.95	176.07	MON
September	175.96	177.35	175.2	175.62	FRI
September	175.53	177	175.36	176.59	FRI
September	175.88	175.95	174.38	175.06	FRI
September	176.05	177.95	176.05	176.72	FRI
September	177.71	178.5	177.33	177.6	FRI
September	177.88	179.8	177.5	179.59	FRI
September	179.83	181.66	179.65	179.85	FRI
September	179.4	179.7	177.19	177.39	FRI
September	176.85	176.91	175.8	175.95	FRI
September	175.61	177.03	175.58	176.3	FRI
September	176.78	177.98	176.69	177.59	FRI
September	177.48	177.63	174.87	175.37	FRI
September	176.58	177.15	176.09	176.23	FRI
October	175.33	175.95	174.4	175.04	FRI
October	174.59	174.97	171.2	171.68	FRI
October	171.66	172.56	171.34	172.39	FRI
October	171.93	172.32	170.6	171.64	FRI
October	171.9	171.94	170.04	171.33	FRI
October	171.84	172.75	170.94	171.14	FRI
October	170.24	170.47	168.69	169.68	FRI
October	169.6	170.18	168.89	169.72	FRI
October	168.87	170.31	168.46	170.02	FRI
October	170.99	171.39	170.3	170.33	MON
October	170.54	171.09	169.94	170.21	MON
October	171.68	171.91	169.84	169.95	MON
October	170.8	170.94	169.66	169.91	MON
October	169.57	170.34	168.99	169.86	MON
October	168.11	169.56	167.72	169.5	MON
October	172.65	173.44	170.9	171.27	MON
October	169.47	169.89	165.11	166.23	MON
October	165.69	167.79	165.41	166.51	MON
October	166.87	166.95	165.28	165.76	MON
October	166.55	167.18	165.14	165.77	MON
October	166.46	166.54	165.18	165.3	MON
November	165.4	165.81	163.85	164.25	FRI
November	164.7	166.37	163.91	165.73	FRI
November	166.14	167.64	165.26	166.83	FRI
November	167.21	167.85	166.42	166.48	FRI
November	168.15	169.89	167.98	169.74	FRI
November	169.9	172.05	169.78	171.03	FRI
November	165.84	171	165.84	170.39	FRI
November	170.16	174.67	169.79	174.28	FRI
November	174.05	175.13	173.73	175.08	FRI
November	175.23	175.51	171.9	172.91	FRI
November	173.16	174.25	171.91	174.24	MON
November	173.13	173.23	171.57	172.01	MON
November	172.01	173.25	172.01	172.77	MON
November	172.51	173.28	172.29	172.96	MON
November	171.42	171.98	170.72	171.52	MON
November	171.67	172.08	171.28	171.91	MON
November	172.08	172.75	171.76	172.25	MON
November	172.21	173.99	172.21	173.49	MON
November	173.56	173.77	172.28	172.5	MON
November	172.54	173.29	172.15	172.77	MON
November	172.2	173.19	171.59	171.74	MON
