Country,Gender,Mean,Total
AT,Both,7.3,1041
AT,Female,7.3,570
AT,Male,7.3,471
BE,Both,7.8,1010
BE,Female,7.8,542
BE,Male,7.8,468
BG,Both,5.8,971
BG,Female,5.8,555
BG,Male,5.8,416
CC3,Both,6.6,3954
CC3,Female,6.6,2226
CC3,Male,6.6,1728
CY,Both,7.7,1002
CY,Female,7.5,569
CY,Male,7.8,433
CZ,Both,7.5,1221
CZ,Female,7.4,759
CZ,Male,7.6,462
DE,Both,7.5,2003
DE,Female,7.5,1087
DE,Male,7.5,916
DK,Both,8.3,997
DK,Female,8.3,550
DK,Male,8.3,447
EE,Both,7.4,1017
EE,Female,7.3,615
EE,Male,7.4,402
ES,Both,7.6,1013
ES,Female,7.5,515
ES,Male,7.7,498
FI,Both,8.3,1001
FI,Female,8.4,538
FI,Male,8.2,463
FR,Both,7.8,1529
FR,Female,7.8,899
FR,Male,7.8,630
GR,Both,7.3,1000
GR,Female,7.3,564
GR,Male,7.4,436
HR,Both,7,982
HR,Female,6.9,598
HR,Male,7,384
HU,Both,7,998
HU,Female,6.9,612
HU,Male,7.1,386
IE,Both,8,996
IE,Female,8.1,596
IE,Male,8,400
IT,Both,7,1506
IT,Female,6.9,973
IT,Male,7.1,533
LT,Both,7.3,997
LT,Female,7.2,622
LT,Male,7.3,375
LU,Both,8,1001
LU,Female,8,576
LU,Male,8.1,425
LV,Both,6.8,990
LV,Female,6.8,611
LV,Male,6.9,379
MK,Both,6.3,980
MK,Female,6.2,510
MK,Male,6.3,470
MT,Both,7.9,991
MT,Female,7.8,493
MT,Male,8,498
NL,Both,8,1010
NL,Female,8,529
NL,Male,8,481
NO,Both,8.1,992
NO,Female,8.1,530
NO,Male,8,462
PL,Both,7.4,1488
PL,Female,7.3,884
PL,Male,7.4,604
PT,Both,6.9,998
PT,Female,6.8,521
PT,Male,7,477
RO,Both,7,997
RO,Female,7,525
RO,Male,7.1,472
SE,Both,8.2,1011
SE,Female,8.2,519
SE,Male,8.2,492
SI,Both,7.7,1028
SI,Female,7.6,602
SI,Male,7.7,426
SK,Both,7.5,1119
SK,Female,7.6,684
SK,Male,7.5,435
TR,Both,6.6,1992
TR,Female,6.6,1118
TR,Male,6.6,874
UK,Both,7.8,1499
UK,Female,7.9,856
UK,Male,7.7,643
